,AFFGEOID,Zugeschnitten_area_full,Zugeschnitten_area_clipped,Anzahl_centers_in_counties
2090,0500000US30051,3740973600.445,208.723.268,0
2091,0500000US40153,,,0
2092,0500000US41009,1783942397.7770002,1.783.942.398,0
2093,0500000US40061,1626602571.6239998,1.202.781.935,0
2094,0500000US40071,2456830363.291,1.260.055.949,0
2095,0500000US28039,1261001379.7389998,1.261.001.380,0
2096,0500000US28059,1946985957.171,1.946.985.957,0
2097,0500000US30065,4845161391.868,1.709.160.964,0
2098,0500000US30079,,,0
2099,0500000US30097,4821848643.637,240.994.994,0
2100,0500000US41071,1860082902.049,1.860.082.902,0
2101,0500000US42007,1152418984.88,1.152.418.985,0
2102,0500000US40081,2511531560.775,,0
2103,0500000US40085,1385124815.856,304.458.231,0
2104,0500000US28063,1374499025.842,26.673.617,0
2105,0500000US28065,1065920107.538,1.065.920.108,0
2106,0500000US28069,1997694932.816,1.997.694.933,0
2107,0500000US30103,,,0
2108,0500000US30107,,,0
2109,0500000US30109,,,0
2110,0500000US42009,2640085307.0360003,287.552.678,0
2111,0500000US42013,1367957789.125,1.361.564.526,0
2112,0500000US40091,1853225673.332,979.326.677,0
2113,0500000US40105,1509832002.285,899.853.163,0
2114,0500000US40111,1826581500.94,1.822.437.283,0
2115,0500000US28073,1304075452.3569999,1.304.075.452,0
2116,0500000US28077,1135433649.481,851.918.308,0
2117,0500000US28097,,,0
2118,0500000US28101,1509645937.496,1.509.645.937,0
2119,0500000US31001,1464379683.861,1.464.365.887,0
2120,0500000US31011,,,0
2121,0500000US31015,,,0
2122,0500000US42021,1799802495.33,1.107.506.077,0
2123,0500000US42037,1272373368.727,1.272.373.369,0
2124,0500000US42047,2158860871.7279997,393.830.383,0
2125,0500000US40115,1259969316.6,1.259.969.317,0
2126,0500000US40119,1812736888.4429998,1.812.736.888,1
2127,0500000US28107,1835354655.103,775.900.427,0
2128,0500000US28113,1070480711.369,2.905.087,0
2129,0500000US28117,1088424365.653,504.898.969,0
2130,0500000US28125,1132767007.975,1.132.062.247,0
2131,0500000US31019,2531262438.721,,1
2132,0500000US31021,1289163394.235,1.289.163.394,0
2133,0500000US42065,1703920568.65,86.668.776,0
2134,0500000US42069,1206292347.263,1.206.292.347,1
2135,0500000US40123,1887064854.236,595.227.880,0
2136,0500000US40129,,,0
2137,0500000US28127,1538544728.353,1.538.544.728,0
2138,0500000US28135,1697034976.845,105.753.338,0
2139,0500000US28145,,,0
2140,0500000US31067,2232640435.492,1.819.311.033,0
2141,0500000US31077,1480254291.569,4.556.787,0
2142,0500000US31083,1490160106.7089999,1.222.763.431,0
2143,0500000US31091,,,0
2144,0500000US31093,1493366977.284,1.087.388.821,0
2145,0500000US42079,2351456350.979,,1
2146,0500000US42081,3226881348.5429997,1.508.051.806,0
2147,0500000US40143,1526524207.595,1.526.524.208,3
2148,0500000US40149,2624601784.1289997,570.059.650,0
2149,0500000US28155,,,0
2150,0500000US29039,1295703417.194,866.746.267,0
2151,0500000US29051,1036559344.077,1.036.559.344,0
2152,0500000US31101,,,0
2153,0500000US31111,,,0
2154,0500000US31115,,,0
2155,0500000US31121,1289122723.714,136.958.868,0
2156,0500000US42107,2031715382.9529998,2.031.715.383,0
2157,0500000US42117,,,0
2158,0500000US42119,824391271.859,705.579.478,0
2159,0500000US27017,2265200107.591,,0
2160,0500000US27035,2993640022.923,627.219.864,0
2161,0500000US27041,1864203023.085,45.349.521,0
2162,0500000US29059,1410624733.164,1.333.642.116,0
2163,0500000US29063,1105516955.083,1.105.516.955,0
2164,0500000US29065,,,0
2165,0500000US29075,1276109554.012,1.264.741.379,0
2166,0500000US29079,,,0
2167,0500000US31125,,,0
2168,0500000US31127,1063011806.0810001,368.783.483,0
